Start,End,Summary
1/1/1954,5/31/1954,1954.1-1954.5
10/1/1957,5/31/1958,1957.10-1958.5
5/1/1960,9/30/1960,1960.5-1960.9
3/1/1967,5/1/1967,1967.3-1967.5
10/1/1970,2/28/1972,1970.10-1972.2
11/1/1974,12/31/1976,1974.11-1976.12
5/1/1980,8/31/1980,1980.5-1980.8
9/1/1981,9/30/1986,1981.9-1986.9
6/1/1989,9/30/1992,1989.6-1992.9
9/1/1998,11/30/1998,1998.9-1998.11
12/31/2000,7/31/2003,2000.12-2003.7
9/1/2007,12/31/2008,2007.9-2008.12
