Date,IXIC
1972/1/11,116.639999
1972/1/12,116.900002
1972/1/13,116.419998
1972/1/14,116.739998
1972/1/17,116.93
1972/1/18,117.660004
1972/1/19,117.449997
1972/1/20,117.32
1972/1/21,117.209999
1972/1/24,116.489998
1972/1/25,116.300003
1972/1/26,116.389999
1972/1/27,117.370003
1972/1/28,118.440002
1972/1/31,118.870003
1972/2/1,119.580002
1972/2/2,120.470001
1972/2/3,120.660004
1972/2/4,121.239998
1972/2/7,121.139999
1972/2/8,121.349998
1972/2/9,122.160004
1972/2/10,122.709999
1972/2/11,122.860001
1972/2/14,122.260002
1972/2/15,122.610001
1972/2/16,123.349998
1972/2/17,123.440002
1972/2/18,123.400002
1972/2/22,123.300003
1972/2/23,123.610001
1972/2/24,124
1972/2/25,124.830002
1972/2/28,124.940002
1972/2/29,125.379997
1972/3/1,126.290001
1972/3/2,126.580002
1972/3/3,127.190002
1972/3/6,127.879997
1972/3/7,127.830002
1972/3/8,128.399994
1972/3/9,128.850006
1972/3/10,128.550003
1972/3/13,127.339996
1972/3/14,127.730003
1972/3/15,128.139999
1972/3/16,127.769997
1972/3/17,128.009995
1972/3/20,127.529999
1972/3/21,125.730003
1972/3/22,126.360001
1972/3/23,127.379997
1972/3/24,127.550003
1972/3/27,127.559998
1972/3/28,127.720001
1972/3/29,127.529999
1972/3/30,128.139999
1972/4/3,128.059998
1972/4/4,128.779999
1972/4/5,130
1972/4/6,130.919998
1972/4/7,131.800003
1972/4/10,131.759995
1972/4/11,132.470001
1972/4/12,133.169998
1972/4/13,133.059998
1972/4/14,133.880005
1972/4/17,133.740005
1972/4/18,134.100006
1972/4/19,132.679993
1972/4/20,132.860001
1972/4/21,133.009995
1972/4/24,131.899994
1972/4/25,130.839996
1972/4/26,130.919998
1972/4/27,131.009995
1972/4/28,131.330002
1972/5/1,130.160004
1972/5/2,129.339996
1972/5/3,128.770004
1972/5/4,128.919998
1972/5/5,129.429993
1972/5/8,128.619995
1972/5/9,125.779999
1972/5/10,126.769997
1972/5/11,127.949997
1972/5/12,129.440002
1972/5/15,130.339996
1972/5/16,130.360001
1972/5/17,129.759995
1972/5/18,130.820007
1972/5/19,132.160004
1972/5/22,132.380005
1972/5/23,132.720001
1972/5/24,133.470001
1972/5/25,133.800003
1972/5/26,133.949997
1972/5/30,133.449997
1972/5/31,132.529999
1972/6/1,133.130005
1972/6/2,133.520004
1972/6/5,132.740005
1972/6/6,132
1972/6/7,131
1972/6/8,131.070007
1972/6/9,130.570007
1972/6/12,130.380005
1972/6/13,130.779999
1972/6/14,131.449997
1972/6/15,131.289993
1972/6/16,131.279999
1972/6/19,130.759995
1972/6/20,131.070007
1972/6/21,131.380005
1972/6/22,130.789993
1972/6/23,130.220001
1972/6/26,129.309998
1972/6/27,129.789993
1972/6/28,129.580002
1972/6/29,129.350006
1972/6/30,130.080002
